"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"13259","ttdiesti",11,"cauca",442,"timbiqui",2009,32.67
"13260","igrtgfec",29,"tolima",NA,NA,2009,NA
"13261","ttdiesti",2,"antioquia",99,"san jeronimo",2009,17.59
"13262","ttdiesti",6,"boyaca",252,"mongui",2009,18.23
"13263","ttdiesti",5,"bolivar",171,"cicuco",2009,23.17
"13264","ttdiesti",13,"choco",486,"san jose del palmar",2009,27.27
"13265","pgeembar",26,"san andres y providencia",NA,NA,2009,NA
"13266","pgeembar",8,"caldas",NA,NA,2009,NA
"13267","pbepredc",12,"cesar",NA,NA,2009,NA
"13268","pcrparin",2,"antioquia",104,"san pedro de uraba",2009,98.57
"13269","pgeembar",NA,"bogota",NA,NA,2009,NA
"13270","pcrparin",5,"bolivar",190,"santa rosa del sur",2009,91.44
"13271","pcrparin",7,"cordoba",NA,NA,2009,99.13940146
"13272","pcrparin",30,"valle del cauca",1019,"caicedonia",2009,99.48
"13273","cgrnacim",20,"meta",NA,NA,2009,22799
"13274","pcrparin",27,"santander",886,"florian",2009,78.87
"13275","rtrmorpu",17,"huila",NA,NA,2009,20.19
"13276","pcrparin",6,"boyaca",319,"villa de leyva",2009,99.46
"13277","pcrrncpn",2,"antioquia",NA,NA,2009,86.55
"13278","ttdiesti",14,"cundinamarca",545,"medina",2009,19.85
"13279","pcrparin",14,"cundinamarca",528,"guasca",2009,98.96
"13280","pcrparin",5,"bolivar",164,"altos del rosario",2009,98.19
"13281","ttdiesti",27,"santander",905,"macaravita",2009,33.88
"13282","pbepredg",7,"cordoba",NA,NA,2009,NA
"13283","ttdiesti",31,"vaupes",NA,"pacoa ",2009,51.86
"13284","pcrparin",2,"antioquia",12,"amaga",2009,98.31
"13285","ttdiesti",2,"antioquia",70,"la ceja",2009,10.51
"13286","pcrparin",5,"bolivar",NA,"san estanislao",2009,99.56
"13287","ttdiesti",31,"vaupes",NA,"yavarate ",2009,41.43
"13288","pcrparin",25,"risaralda",844,"la virginia",2009,98.5
"13289","ttdiesti",4,"atlantico",148,"manati",2009,31.44
"13290","pcrparin",11,"cauca",428,"padilla",2009,97.1
"13291","ttdiesti",27,"santander",939,"vetas",2009,20.94
"13292","ttdiesti",12,"cesar",452,"curumani",2009,16.68
"13293","pbrmivih",15,"guainia",NA,NA,2009,NA
"13294","pcrparin",29,"tolima",969,"anzoategui",2009,97.44
"13295","ptrldeng",5,"bolivar",NA,NA,2009,0
"13296","pcrparin",22,"norte de santander",801,"ragonvalia",2009,100
"13297","pbehtaco",6,"boyaca",NA,NA,2009,NA
"13298","cgrnacim",12,"cesar",NA,NA,2009,17530
"13299","ttdiesti",6,"boyaca",234,"gameza",2009,22.1
"13300","ttdiesti",21,"narino",NA,"san andres de tumaco",2009,35.61
"13301","ttdiesti",11,"cauca",431,"popayan",2009,12.6
"13302","pcrparin",19,"magdalena",NA,"pijino del carmen",2009,98.88
"13303","pcrparin",11,"cauca",NA,NA,2009,94.47233314
"13304","ttdiesti",14,"cundinamarca",574,"soacha",2009,13.24
"13305","ttdiesti",5,"bolivar",165,"arjona",2009,21.86
"13306","pcrparin",22,"norte de santander",808,"sardinata",2009,91.4
"13307","ttdiesti",6,"boyaca",265,"pauna",2009,17.34
"13308","pgeembar",1,"amazonas",NA,NA,2009,NA
"13309","cgrnacim",8,"caldas",NA,NA,2009,18691
"13310","pbehtaco",32,"vichada",NA,NA,2009,NA
"13311","rgrtgfec",2,"antioquia",NA,NA,2009,NA
"13312","pcrparin",2,"antioquia",27,"betulia",2009,96.49
"13313","pcrparin",7,"cordoba",335,"pueblo nuevo",2009,99.01
"13314","ctrmormt",30,"valle del cauca",NA,NA,2009,33
"13315","pbepredg",2,"antioquia",NA,NA,2009,NA
"13316","ttdiesti",27,"santander",890,"galan",2009,20.94
"13317","ttdiesti",27,"santander",897,"jesus maria",2009,24.29
"13318","pcrparin",14,"cundinamarca",553,"paime",2009,97.22
"13319","ttdiesti",27,"santander",901,"landazuri",2009,28.78
"13320","pcrparin",14,"cundinamarca",536,"la calera",2009,99.73
"13321","ttdiesti",6,"boyaca",267,"paz de rio",2009,14.75
"13322","ttdiesti",26,"san andres y providencia",854,"san andres",2009,15.56
"13323","ttdiesti",21,"narino",NA,"el penol",2009,21.19
"13324","ttdiesti",25,"risaralda",850,"santa rosa de cabal",2009,15.09
"13325","ttdiesti",4,"atlantico",153,"puerto colombia",2009,16.93
"13326","ttdiesti",13,"choco",470,"alto baudo",2009,52.8
"13327","pcrparin",2,"antioquia",75,"marinilla",2009,99.7
"13328","pcrparin",10,"casanare",403,"tauramena",2009,98.2
"13329","pcrparin",8,"caldas",NA,"norcasia",2009,97.09
"13330","pcrparin",6,"boyaca",295,"somondoco",2009,100
"13331","pcrparin",22,"norte de santander",809,"teorama",2009,99.43
"13332","pcrparin",22,"norte de santander",NA,"cucuta",2009,98.59
"13333","ttdiesti",30,"valle del cauca",1048,"ulloa",2009,15.85
"13334","ttdiesti",6,"boyaca",201,"arcabuco",2009,16.11
"13335","pcrparin",2,"antioquia",37,"caramanta",2009,97.06
"13336","pcrparin",27,"santander",888,"gambita",2009,89.19
"13337","pcrparin",12,"cesar",451,"chiriguana",2009,96.49
"13338","pcrparin",12,"cesar",456,"gonzalez",2009,98.36
"13339","ttdiesti",22,"norte de santander",798,"pamplona",2009,11.33
"13340","ttdiesti",5,"bolivar",180,"morales",2009,19.19
"13341","ttdiesti",21,"narino",758,"roberto payan",2009,43.6
"13342","pcrparin",21,"narino",754,"providencia",2009,95.52
"13343","pcrparin",1,"amazonas",246,"la victoria",2009,NA
"13344","pcrparin",17,"huila",636,"paicol",2009,98.73
"13345","pbepredg",25,"risaralda",NA,NA,2009,NA
"13346","ttdiesti",22,"norte de santander",786,"el tarra",2009,26.8
"13347","pcrparin",14,"cundinamarca",500,"cabrera",2009,97.7
"13348","ttdiesti",8,"caldas",357,"manzanares",2009,15.06
"13349","ttdiesti",1,"amazonas",NA,"el encanto ",2009,56.23
"13350","ttdiesti",11,"cauca",415,"corinto",2009,18.91
"13351","pcrparin",2,"antioquia",42,"cisneros",2009,98.6
"13352","ttdiesti",10,"casanare",391,"la salina",2009,36.86
"13353","pcrparin",28,"sucre",NA,"tolu viejo",2009,98.02
"13354","pcrparin",20,"meta",NA,"vistahermosa",2009,97.91
"13355","cgrnacim",29,"tolima",NA,NA,2009,15551
"13356","ctrmormt",32,"vichada",NA,NA,2009,2
"13357","pbepredc",14,"cundinamarca",NA,NA,2009,NA
"13358","ttdiesti",20,"meta",NA,"uribe",2009,37.3
"13359","pcrparin",21,"narino",740,"la florida",2009,99.19
"13360","ttdiesti",3,"arauca",136,"fortul",2009,22.7
"13361","rtrmorpu",6,"boyaca",NA,NA,2009,74.9
"13362","pcrparin",23,"putumayo",824,"valle del guamuez",2009,96.33
"13363","ttdiesti",22,"norte de santander",809,"teorama",2009,19.02
"13364","igrtgfec",NA,"bogota",NA,NA,2009,NA
"13365","pcrparin",27,"santander",926,"san jose de miranda",2009,100
"13366","pcrrncpn",19,"magdalena",NA,NA,2009,80.78
"13367","pcrparin",17,"huila",641,"rivera",2009,94.7
"13368","pcrparin",17,"huila",647,"tello",2009,90.48
"13369","pcrparin",6,"boyaca",271,"quipama",2009,96.3
"13370","pcrparin",2,"antioquia",66,"itagui",2009,99.85
"13371","pcrparin",14,"cundinamarca",600,"villeta",2009,99.22
"13372","pcrparin",6,"boyaca",205,"boavita",2009,97.14
"13373","pcrparin",5,"bolivar",NA,"magangue",2009,98.9
"13374","pcrparin",2,"antioquia",107,"san vicente",2009,97.73
"13375","pcrparin",19,"magdalena",682,"tenerife",2009,100
"13376","pcrparin",7,"cordoba",327,"chinu",2009,99.45
"13377","ttdiesti",6,"boyaca",270,"puerto boyaca",2009,20.51
"13378","ttdiesti",11,"cauca",409,"balboa",2009,22.32
"13379","pcrperca",16,"guaviare",NA,NA,2009,96.18055556
"13380","ttdiesti",13,"choco",365,"riosucio",2009,50.02
"13381","pcrparin",6,"boyaca",315,"tuta",2009,97.5
"13382","pcrparin",8,"caldas",350,"aranzazu",2009,97.2
"13383","ttdiesti",7,"cordoba",324,"canalete",2009,32.27
"13384","pcrparin",6,"boyaca",259,"otanche",2009,94.78
"13385","ttdiesti",11,"cauca",432,"puerto tejada",2009,15.11
"13386","ttdiesti",7,"cordoba",NA,"tuchin (1)",2009,35.23
"13387","ttdiesti",17,"huila",646,"tarqui",2009,24.2
"13388","pcrparin",2,"antioquia",100,"san jose de la montana",2009,95.31
"13389","ttdiesti",2,"antioquia",88,"puerto nare",2009,17.96
"13390","ttdiesti",14,"cundinamarca",490,"agua de dios",2009,16.8
"13391","pcrparin",20,"meta",NA,NA,2009,97.79908617
"13392","pbepredc",3,"arauca",NA,NA,2009,NA
"13393","pcrparin",14,"cundinamarca",575,"sopo",2009,99.44
"13394","pcrparin",28,"sucre",NA,"palmito",2009,95.41
"13395","ttdiesti",14,"cundinamarca",517,"fuquene",2009,12.97
"13396","pcrparin",27,"santander",876,"confines",2009,100
"13397","ttdiesti",23,"putumayo",815,"orito",2009,24.61
"13398","ttdiesti",27,"santander",27,"betulia",2009,23.82
"13399","ttdiesti",11,"cauca",413,"caldono",2009,28.33
"13400","pcrparin",6,"boyaca",270,"puerto boyaca",2009,99.37
"13401","pbrmivih",13,"choco",NA,NA,2009,25
"13402","pcrparin",2,"antioquia",19,"apartado",2009,99.38
"13403","ttdiesti",7,"cordoba",208,"buenavista",2009,27.63
"13404","pcrparin",18,"la guajira",659,"san juan del cesar",2009,98.51
"13405","pcrparin",19,"magdalena",670,"fundacion",2009,99.66
"13406","rtrmorpu",7,"cordoba",NA,NA,2009,69.78
"13407","pgeembar",32,"vichada",NA,NA,2009,NA
"13408","pcrparin",27,"santander",865,"california",2009,100
"13409","ttdiesti",15,"guainia",NA,"barranco minas ",2009,42.61
"13410","pcrparin",3,"arauca",136,"fortul",2009,84
"13411","pcrparin",2,"antioquia",102,"san luis",2009,95.33
"13412","ttdiesti",27,"santander",866,"capitanejo",2009,19.27
"13413","pbepredg",31,"vaupes",NA,NA,2009,NA
"13414","ttdiesti",6,"boyaca",226,"cuitiva",2009,25.74
"13415","pcrparin",14,"cundinamarca",576,"subachoque",2009,98.27
"13416","ptrldeng",7,"cordoba",NA,NA,2009,6.25
"13417","pgeembar",31,"vaupes",NA,NA,2009,NA
"13418","pcrparin",17,"huila",622,"campoalegre",2009,88.57
"13419","pcrparin",10,"casanare",396,"paz de ariporo",2009,97.56
"13420","pcrparin",29,"tolima",985,"herveo",2009,97.56
"13421","pcrparin",2,"antioquia",124,"valparaiso",2009,100
"13422","ttdiesti",14,"cundinamarca",573,"simijaca",2009,20.52
"13423","ttdiesti",27,"santander",923,"san benito",2009,22.08
"13424","pcrparin",14,"cundinamarca",552,"pacho",2009,99.71
"13425","pcrparin",6,"boyaca",311,"tota",2009,96.67
"13426","ttdiesti",30,"valle del cauca",704,"restrepo",2009,17.08
"13427","ttdiesti",28,"sucre",960,"san pedro",2009,24.29
"13428","ttdiesti",22,"norte de santander",777,"bucarasica",2009,23.58
"13429","ttdnesti",14,"cundinamarca",NA,NA,2009,19.91702508
"13430","pcrparin",7,"cordoba",326,"chima",2009,99.42
"13431","ttdiesti",28,"sucre",950,"los palmitos",2009,23.17
"13432","pcrparin",29,"tolima",NA,"mariquita",2009,96.5
"13433","pcrparin",15,"guainia",NA,NA,2009,81.10749186
"13434","ttdiesti",30,"valle del cauca",1044,"sevilla",2009,13.81
"13435","ttdiesti",1,"amazonas",NA,"la victoria ",2009,91.97
"13436","ttdiesti",7,"cordoba",NA,"cotorra",2009,24.92
"13437","ttdiesti",14,"cundinamarca",598,"villagomez",2009,21.28
"13438","pcrparin",11,"cauca",422,"la vega",2009,98.32
"13439","pcrparin",2,"antioquia",43,"cocorna",2009,98.08
"13440","rgrtgfec",4,"atlantico",NA,NA,2009,NA
"13441","ttdiesti",30,"valle del cauca",28,"bolivar",2009,21
"13442","ttdiesti",12,"cesar",NA,"pueblo bello",2009,33.92
"13443","caelacex",3,"arauca",NA,NA,2009,NA
"13444","pcrparin",30,"valle del cauca",1051,"yotoco",2009,98.33
"13445","ttdiesti",20,"meta",707,"san juanito",2009,24.16
"13446","ttdiesti",8,"caldas",368,"samana",2009,15.23
"13447","ttdiesti",32,"vichada",1061,"la primavera",2009,24.53
"13448","ttdiesti",7,"cordoba",329,"los cordobas",2009,33.36
"13449","pcrparin",20,"meta",706,"san juan de arama",2009,93.7
"13450","ttdiesti",30,"valle del cauca",1031,"guadalajara de buga",2009,12.67
"13451","ttdiesti",19,"magdalena",669,"el pinon",2009,23.39
"13452","pcrparin",21,"narino",737,"imues",2009,98.44
"13453","ttdiesti",2,"antioquia",86,"pueblorrico",2009,17.6
"13454","pcrparin",5,"bolivar",186,"san juan nepomuceno",2009,100
"13455","pcrparin",27,"santander",860,"barrancabermeja",2009,99.62
"13456","ptrldeng",10,"casanare",NA,NA,2009,0.73
"13457","pcrparin",23,"putumayo",823,"sibundoy",2009,96.9
"13458","ttdiesti",27,"santander",459,"la paz",2009,18.98
"13459","ttdiesti",2,"antioquia",77,"montebello",2009,17.2
"13460","ttdiesti",27,"santander",902,"lebrija",2009,12.76
"13461","pcrparin",17,"huila",634,"neiva",2009,99.45
"13462","pcrparin",27,"santander",937,"velez",2009,99.2
"13463","ttdiesti",6,"boyaca",289,"sativasur",2009,21.05
"13464","ttdiesti",21,"narino",745,"linares",2009,21.36
"13465","ttdiesti",2,"antioquia",90,"remedios",2009,18.9
"13466","pcrparin",13,"choco",469,"acandi",2009,98.8
"13467","ttdiesti",6,"boyaca",238,"guateque",2009,13.28
"13468","pcrparin",2,"antioquia",131,"yondo",2009,97.92
"13469","ttdiesti",7,"cordoba",331,"momil",2009,21.38
"13470","ttdiesti",2,"antioquia",32,"canasgordas",2009,27.7
"13471","ttdiesti",14,"cundinamarca",587,"tocaima",2009,13.85
"13472","ttdiesti",6,"boyaca",315,"tuta",2009,17.32
"13473","ttdiesti",2,"antioquia",66,"itagui",2009,7.82
"13474","ttdiesti",6,"boyaca",275,"sachica",2009,20.27
"13475","pcrparin",27,"santander",61,"guadalupe",2009,100
"13476","pcrparin",27,"santander",899,"la belleza",2009,78.95
"13477","pcrparin",18,"la guajira",460,"manaure",2009,87.46
"13478","pcrparin",20,"meta",699,"puerto concordia",2009,97.54
"13479","pcrparin",32,"vichada",1062,"puerto carreno",2009,98.24
"13480","ttdiesti",18,"la guajira",NA,"hatonuevo",2009,27.87
"13481","pcrparin",30,"valle del cauca",960,"san pedro",2009,99.45
"13482","ttdnesti",20,"meta",NA,NA,2009,37.00687084
"13483","pcrparin",6,"boyaca",235,"gachantiva",2009,98
"13484","pcrparin",27,"santander",857,"aratoca",2009,98.43
"13485","ttdiesti",14,"cundinamarca",522,"gachancipa",2009,14.24
"13486","pcrparin",29,"tolima",1009,"venadillo",2009,97.8
"13487","ttdiesti",29,"tolima",1001,"rovira",2009,20.61
"13488","pcrparin",6,"boyaca",200,"aquitania",2009,98.97
"13489","ttdiesti",5,"bolivar",NA,"rio viejo (1)",2009,26.6
"13490","pcrparin",6,"boyaca",236,"garagoa",2009,98.45
"13491","pcrparin",30,"valle del cauca",1045,"toro",2009,96.88
"13492","ttdiesti",6,"boyaca",260,"paez",2009,20.22
"13493","ttdiesti",19,"magdalena",NA,"pijino del carmen",2009,22.25
"13494","pgeembar",27,"santander",NA,NA,2009,NA
"13495","ttdiesti",25,"risaralda",846,"mistrato",2009,26.77
"13496","pcrparin",2,"antioquia",73,"liborina",2009,96.8
"13497","ttdiesti",12,"cesar",468,"valledupar",2009,15.76
"13498","ttdiesti",14,"cundinamarca",513,"el colegio",2009,12.66
"13499","pcrparin",14,"cundinamarca",494,"apulo",2009,98.97
"13500","pcrparin",14,"cundinamarca",550,"nimaima",2009,100
"13501","pcrparin",14,"cundinamarca",498,"bojaca",2009,96.75
"13502","pcrparin",29,"tolima",974,"casabianca",2009,97.44
"13503","pcrparin",2,"antioquia",17,"anori",2009,95.32
"13504","pcrparin",9,"caqueta",381,"milan",2009,95.24
"13505","ttdiesti",6,"boyaca",223,"coper",2009,20.31
"13506","ttdiesti",7,"cordoba",333,"monteria",2009,21.7
"13507","pbretaia",3,"arauca",NA,NA,2009,NA
"13508","pcrparin",3,"arauca",135,"cravo norte",2009,88.33
"13509","pbepredg",18,"la guajira",NA,NA,2009,NA
"13510","ttdiesti",6,"boyaca",306,"tinjaca",2009,17.79
"13511","igrtgfec",17,"huila",NA,NA,2009,NA
"13512","ttdiesti",2,"antioquia",71,"la estrella",2009,11.04
"13513","pcrparin",17,"huila",620,"altamira",2009,98.21
"13514","ttdiesti",11,"cauca",439,"sotara",2009,19.53
"13515","cgrnacim",4,"atlantico",NA,NA,2009,39889
"13516","pcrparin",21,"narino",108,"santa barbara",2009,100
"13517","pcrparin",21,"narino",735,"gualmatan",2009,94.2
"13518","pcrparin",14,"cundinamarca",548,"nemocon",2009,99.52
"13519","pcrparin",2,"antioquia",89,"puerto triunfo",2009,95.9
"13520","pcrparin",28,"sucre",NA,"santiago de tolu",2009,98.19
"13521","ttdiesti",5,"bolivar",175,"mahates",2009,22.53
"13522","pcrparin",21,"narino",745,"linares",2009,99.33
"13523","pcrparin",28,"sucre",960,"san pedro",2009,99.64
"13524","pcrparin",17,"huila",363,"palestina",2009,93.64
"13525","ttdiesti",2,"antioquia",83,"olaya",2009,20.63
"13526","ttdiesti",17,"huila",629,"iquira",2009,24.78
"13527","pcrparin",13,"choco",477,"el carmen de atrato",2009,100
"13528","pbretaia",1,"amazonas",NA,NA,2009,NA
"13529","cgrnacim",19,"magdalena",NA,NA,2009,12701
"13530","ttdiesti",2,"antioquia",53,"entrerrios",2009,15.58
"13531","pcrparin",14,"cundinamarca",537,"la mesa",2009,99
"13532","pcrrncpn",21,"narino",NA,NA,2009,80.16
"13533","ttdiesti",14,"cundinamarca",532,"guayabetal",2009,22.01
"13534","pcrparin",13,"choco",NA,NA,2009,95.55918071
"13535","pcrparin",14,"cundinamarca",497,"bituima",2009,94.74
"13536","pcrparin",22,"norte de santander",786,"el tarra",2009,99.1
"13537","ttdiesti",2,"antioquia",119,"toledo",2009,19.26
"13538","pcrparin",8,"caldas",361,"neira",2009,98.67
"13539","ttdiesti",21,"narino",721,"colon",2009,22.03
"13540","ttdiesti",28,"sucre",NA,"tolu viejo",2009,19.37
"13541","pcrparin",25,"risaralda",846,"mistrato",2009,89.08
"13542","ttdiesti",9,"caqueta",124,"valparaiso",2009,20.18
"13543","ttdiesti",27,"santander",903,"los santos",2009,17.11
"13544","ttdiesti",2,"antioquia",51,"el carmen de viboral",2009,14.89
"13545","ptrldeng",20,"meta",NA,NA,2009,2.03
"13546","rgrtgfec",NA,"bogota",NA,NA,2009,NA
"13547","ttdiesti",2,"antioquia",52,"el santuario",2009,11.29
"13548","pcrparin",11,"cauca",NA,"lopez",2009,92.11
"13549","ttdiesti",20,"meta",60,"granada",2009,29.27
"13550","ttdiesti",13,"choco",480,"jurado",2009,58.57
"13551","ttdiesti",13,"choco",488,"tado",2009,40.03
"13552","pcrparin",2,"antioquia",80,"narino",2009,96.03
"13553","ttdiesti",21,"narino",753,"potosi",2009,20.29
"13554","pcrparin",6,"boyaca",231,"el espino",2009,96.43
"13555","pcrparin",21,"narino",773,"yacuanquer",2009,97.84
"13556","pcrparin",14,"cundinamarca",569,"sasaima",2009,99.39
"13557","pcrparin",21,"narino",728,"el rosario",2009,100
"13558","ttdiesti",23,"putumayo",825,"villagarzon",2009,34.6
"13559","caelacex",24,"quindio",NA,NA,2009,NA
"13560","ttdiesti",3,"arauca",137,"puerto rondon",2009,16.04
"13561","ttdiesti",17,"huila",639,"pitalito",2009,16.33
"13562","ttdiesti",14,"cundinamarca",584,"tenjo",2009,14.72
"13563","pcrparin",14,"cundinamarca",529,"guataqui",2009,96.3
"13564","pcrparin",11,"cauca",420,"jambalo",2009,92.23
"13565","pcrparin",2,"antioquia",57,"gomez plata",2009,99.22
"13566","pcrparin",26,"san andres y providencia",854,"san andres",2009,99.88
"13567","ttdiesti",13,"choco",474,"bojaya",2009,52.54
"13568","ttdiesti",27,"santander",863,"bucaramanga",2009,11.36
"13569","ttdiesti",14,"cundinamarca",577,"suesca",2009,14.88
"13570","ttdiesti",14,"cundinamarca",563,"san antonio del tequendama",2009,18.09
"13571","pcrparin",14,"cundinamarca",554,"pandi",2009,97.87
"13572","pcrparin",6,"boyaca",279,"san jose de pare",2009,95.71
"13573","pcrparin",22,"norte de santander",791,"la esperanza",2009,99.03
"13574","pcrperca",24,"quindio",NA,NA,2009,99.3422059
"13575","ttdiesti",10,"casanare",396,"paz de ariporo",2009,28.14
"13576","ttdiesti",19,"magdalena",45,"concordia",2009,26.48
"13577","pcrparin",22,"norte de santander",782,"convencion",2009,99.2
"13578","pcrparin",23,"putumayo",815,"orito",2009,87.82
"13579","ttdiesti",10,"casanare",397,"pore",2009,34.76
"13580","pcrparin",14,"cundinamarca",601,"viota",2009,98.8
"13581","pcrparin",2,"antioquia",51,"el carmen de viboral",2009,99.31
"13582","pcrparin",27,"santander",890,"galan",2009,100
"13583","pcrparin",21,"narino",731,"francisco pizarro",2009,98.04
"13584","ttdiesti",3,"arauca",138,"saravena",2009,16.25
"13585","pcrparin",29,"tolima",983,"fresno",2009,97.96
"13586","ttdiesti",14,"cundinamarca",504,"carmen de carupa",2009,20.75
"13587","pcrparin",4,"atlantico",NA,NA,2009,99.65654692
"13588","pcrperca",6,"boyaca",NA,NA,2009,98.571505
"13589","cgrnacim",31,"vaupes",NA,NA,2009,1440
"13590","ttdiesti",16,"guaviare",615,"san jose del guaviare",2009,36.06
"13591","pcrperca",15,"guainia",NA,NA,2009,80.94462541
"13592","ttdiesti",21,"narino",714,"ancuya",2009,17.63
"13593","pcrparin",22,"norte de santander",715,"arboleda",2009,88.89
"13594","pcrparin",8,"caldas",358,"marmato",2009,93.13
"13595","ttdiesti",6,"boyaca",214,"chiquiza",2009,26.15
"13596","pcrparin",4,"atlantico",144,"galapa",2009,99.29
"13597","ttdiesti",5,"bolivar",NA,"clemencia",2009,20.65
"13598","ttdiesti",17,"huila",623,"colombia",2009,24.75
"13599","ttdiesti",14,"cundinamarca",512,"cucunuba",2009,22.24
"13600","pcrparin",24,"quindio",208,"buenavista",2009,100
"13601","pcrparin",16,"guaviare",615,"san jose del guaviare",2009,97.05
"13602","ttdiesti",6,"boyaca",254,"motavita",2009,25.08
"13603","ttdiesti",8,"caldas",364,"pensilvania",2009,10.21
"13604","pcrparin",27,"santander",NA,NA,2009,98.88495517
"13605","pcrparin",10,"casanare",93,"sabanalarga",2009,97.5
"13606","ttdiesti",2,"antioquia",NA,"la pintada",2009,15.71
"13607","ttdiesti",1,"amazonas",6,"puerto narino",2009,40.18
"13608","pcrparin",21,"narino",765,"sandona",2009,90.2
"13609","ttdiesti",2,"antioquia",122,"urrao",2009,18.66
"13610","ttdiesti",6,"boyaca",276,"saboya",2009,18.26
"13611","ttdiesti",22,"norte de santander",793,"labateca",2009,15.99
"13612","ttdiesti",20,"meta",691,"fuente de oro",2009,27.39
"13613","pcrparin",27,"santander",897,"jesus maria",2009,100
"13614","pcrparin",6,"boyaca",272,"raquira",2009,95
"13615","pcrparin",6,"boyaca",318,"ventaquemada",2009,98.71
"13616","pbepredg",8,"caldas",NA,NA,2009,NA
"13617","ttdiesti",11,"cauca",441,"timbio",2009,15.97
"13618","pbehtaco",1,"amazonas",NA,NA,2009,NA
"13619","ttdiesti",29,"tolima",991,"melgar",2009,14.24
"13620","pbretaia",NA,"bogota",NA,NA,2009,NA
"13621","ttdiesti",20,"meta",706,"san juan de arama",2009,28.72
"13622","pcrparin",6,"boyaca",201,"arcabuco",2009,95.45
"13623","pcrparin",5,"bolivar",NA,"san cristobal",2009,100
"13624","rgrtgfec",26,"san andres y providencia",NA,NA,2009,NA
"13625","pcrparin",14,"cundinamarca",587,"tocaima",2009,98.88
"13626","pbrmivih",29,"tolima",NA,NA,2009,5.9
"13627","pbrmivih",31,"vaupes",NA,NA,2009,NA
"13628","pbehtaco",16,"guaviare",NA,NA,2009,NA
"13629","ttdiesti",6,"boyaca",233,"floresta",2009,25.78
"13630","pcrparin",27,"santander",896,"hato",2009,100
"13631","ttdiesti",25,"risaralda",849,"quinchia",2009,14.33
"13632","ttdiesti",9,"caqueta",NA,NA,2009,22.65351209
"13633","ttdiesti",24,"quindio",NA,NA,2009,13.41682232
"13634","pcrparin",10,"casanare",393,"monterrey",2009,100
"13635","pbehtaco",29,"tolima",NA,NA,2009,NA
"13636","pcrparin",21,"narino",720,"chachagui",2009,97.01
"13637","pcrparin",27,"santander",906,"matanza",2009,98.11
"13638","pcrparin",13,"choco",NA,"certegui",2009,100
"13639","ttdiesti",2,"antioquia",125,"vegachi",2009,15.59
"13640","ttdiesti",29,"tolima",NA,"mariquita",2009,14.98
"13641","ttdiesti",21,"narino",722,"consaca",2009,20.97
"13642","ttdiesti",11,"cauca",435,"san sebastian",2009,28.51
"13643","pcrparin",27,"santander",914,"palmas del socorro",2009,66.67
"13644","ttdiesti",10,"casanare",392,"mani",2009,24.17
"13645","pcrparin",9,"caqueta",374,"belen de los andaquies",2009,98.78
"13646","ttdiesti",20,"meta",696,"lejanias",2009,27.42
"13647","ttdiesti",20,"meta",702,"puerto lleras",2009,42.95
"13648","ttdiesti",22,"norte de santander",801,"ragonvalia",2009,14.36
"13649","pbehtaco",25,"risaralda",NA,NA,2009,NA
"13650","ttdiesti",6,"boyaca",204,"beteitiva",2009,22.93
"13651","pcrparin",6,"boyaca",321,"zetaquira",2009,98.59
"13652","pgeembar",23,"putumayo",NA,NA,2009,NA
"13653","pcrperca",28,"sucre",NA,NA,2009,98.54671725
"13654","ttdiesti",6,"boyaca",237,"guacamayas",2009,28.24
"13655","pcrparin",30,"valle del cauca",1037,"palmira",2009,99.22
"13656","pcrparin",10,"casanare",395,"orocue",2009,92.67
"13657","pcrparin",2,"antioquia",68,"jardin",2009,98.09
"13658","ttdiesti",4,"atlantico",162,"usiacuri",2009,18.26
"13659","pcrparin",14,"cundinamarca",583,"tena",2009,100
"13660","ttdiesti",27,"santander",921,"sabana de torres",2009,13.67
"13661","pcrparin",27,"santander",909,"ocamonte",2009,100
"13662","ttdiesti",29,"tolima",1000,"roncesvalles",2009,17.69
"13663","ttdiesti",11,"cauca",422,"la vega",2009,29.86
"13664","ttdiesti",24,"quindio",167,"cordoba",2009,14.69
"13665","pcrrncpn",6,"boyaca",NA,NA,2009,85.27
"13666","pcrparin",27,"santander",919,"puerto wilches",2009,99.19
"13667","pcrparin",1,"amazonas",NA,"puerto arica",2009,31.25
"13668","rgrtgfec",10,"casanare",NA,NA,2009,NA
"13669","pcrparin",15,"guainia",611,"san felipe",2009,100
"13670","pcrparin",22,"norte de santander",790,"herran",2009,100
"13671","ttdiesti",7,"cordoba",346,"tierralta",2009,29.06
"13672","pcrparin",30,"valle del cauca",1024,"el aguila",2009,96.9
"13673","ttdiesti",21,"narino",724,"cuaspud",2009,27.67
"13674","ttdiesti",7,"cordoba",330,"monitos",2009,26.71
"13675","pbehtaco",28,"sucre",NA,NA,2009,NA
"13676","pgeembar",3,"arauca",NA,NA,2009,NA
"13677","pcrparin",28,"sucre",957,"san juan de betulia",2009,98.91
"13678","pcrparin",6,"boyaca",280,"san luis de gaceno",2009,97.18
"13679","ttdiesti",2,"antioquia",64,"heliconia",2009,17.35
"13680","ttdiesti",19,"magdalena",679,"san zenon",2009,19.54
"13681","cgrnacim",15,"guainia",NA,NA,2009,1276
"13682","ttdiesti",6,"boyaca",219,"chitaraque",2009,23.25
