"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"3488","ttdiesti",15,"guainia",NA,"inirida",2006,39.85
"3489","ttdiesti",2,"antioquia",101,"san juan de uraba",2006,35.46
"3490","ttdiesti",29,"tolima",NA,"palocabildo",2006,28.3
"3491","pbehtaco",24,"quindio",NA,NA,2006,NA
"3492","pcrparin",14,"cundinamarca",422,"la vega",2006,98.67
"3493","pcrparin",20,"meta",683,"acacias",2006,89.31
"3494","pcrparin",21,"narino",718,"buesaco",2006,71.75
"3495","pcrperca",10,"casanare",NA,NA,2006,97.8744439
"3496","pcrparin",21,"narino",NA,"la union",2006,98.85
"3497","ttdiesti",23,"putumayo",823,"sibundoy",2006,16.43
"3498","ttdiesti",18,"la guajira",NA,"dibulla",2006,30.65
"3499","ttdiesti",19,"magdalena",673,"pivijay",2006,31.34
"3500","pcrparin",30,"valle del cauca",NA,NA,2006,98.76907045
"3501","ttdiesti",5,"bolivar",NA,"arenal",2006,22.73
"3502","pcrparin",30,"valle del cauca",1026,"el cerrito",2006,99.84
"3503","pcrparin",27,"santander",923,"san benito",2006,88.24
"3504","pcrparin",6,"boyaca",291,"soata",2006,96.58
"3505","ttdiesti",21,"narino",747,"magui",2006,42.77
"3506","pcrparin",27,"santander",867,"carcasi",2006,98.68
"3507","pcrparin",27,"santander",908,"molagavita",2006,92.75
"3508","pcrrncpn",24,"quindio",NA,NA,2006,85.8
"3509","pcrparin",12,"cesar",453,"el copey",2006,95.79
"3510","ttdiesti",8,"caldas",355,"la merced",2006,19.85
"3511","ttdiesti",2,"antioquia",27,"betulia",2006,20.51
"3512","ttdiesti",2,"antioquia",117,"tarso",2006,25.73
"3513","pcrparin",21,"narino",750,"olaya herrera",2006,97.82
"3514","ttdiesti",27,"santander",938,"valle de san jose",2006,19.61
"3515","ttdiesti",22,"norte de santander",797,"ocana",2006,12.06
"3516","ttdiesti",19,"magdalena",NA,"sabanas de san angel",2006,37.06
"3517","pcrparin",11,"cauca",419,"inza",2006,60.51
"3518","pcrparin",25,"risaralda",847,"pereira",2006,99.64
"3519","pcrparin",30,"valle del cauca",1018,"bugalagrande",2006,99.6
"3520","pbrmivih",21,"narino",NA,NA,2006,NA
"3521","pcrparin",2,"antioquia",112,"segovia",2006,98.89
"3522","ttdiesti",11,"cauca",440,"suarez",2006,28.51
"3523","ttdiesti",2,"antioquia",68,"jardin",2006,14.87
"3524","ttdiesti",7,"cordoba",347,"valencia",2006,29.4
"3525","pcrparin",20,"meta",689,"el castillo",2006,83.96
"3526","pcrparin",19,"magdalena",678,"san sebastian de buenavista",2006,89.24
"3527","ttdiesti",29,"tolima",984,"guamo",2006,24.96
"3528","pcrparin",27,"santander",894,"guapota",2006,100
"3529","rgrtgfec",5,"bolivar",NA,NA,2006,NA
"3530","pcrparin",8,"caldas",371,"villamaria",2006,98.64
"3531","ttdiesti",27,"santander",927,"san miguel",2006,30.25
"3532","pcrparin",14,"cundinamarca",516,"facatativa",2006,98.8
"3533","ctrmormt",8,"caldas",NA,NA,2006,11
"3534","pcrparin",26,"san andres y providencia",754,"providencia",2006,100
"3535","pcrperca",9,"caqueta",NA,NA,2006,96.56610594
"3536","pcrparin",2,"antioquia",11,"alejandria",2006,100
"3537","pcrparin",29,"tolima",973,"carmen de apicala",2006,97.64
"3538","pcrparin",6,"boyaca",234,"gameza",2006,86.61
"3539","ttdiesti",30,"valle del cauca",NA,NA,2006,14.74977249
"3540","pcrparin",27,"santander",44,"concepcion",2006,98.89
"3541","pcrparin",23,"putumayo",817,"puerto caicedo",2006,73.99
"3542","pcrparin",6,"boyaca",262,"paipa",2006,99.43
"3543","pcrparin",2,"antioquia",82,"necocli",2006,97.75
"3544","ttdnesti",8,"caldas",NA,NA,2006,19.1564286
"3545","ttdiesti",27,"santander",92,"rionegro",2006,16.37
"3546","pcrparin",5,"bolivar",187,"san martin de loba",2006,91.41
"3547","ttdiesti",25,"risaralda",843,"la celia",2006,17.53
"3548","ttdiesti",17,"huila",640,"pital",2006,29.29
"3549","pcrparin",21,"narino",770,"tangua",2006,79.84
"3550","pcrparin",5,"bolivar",NA,"villa nueva",2006,99.08
"3551","ttdiesti",17,"huila",620,"altamira",2006,16.1
"3552","pcrparin",14,"cundinamarca",522,"gachancipa",2006,99.05
"3553","igrtgfec",14,"cundinamarca",NA,NA,2006,NA
"3554","pcrparin",6,"boyaca",251,"mongua",2006,93.15
"3555","caelacex",6,"boyaca",NA,NA,2006,NA
"3556","ttdiesti",9,"caqueta",379,"florencia",2006,17.28
"3557","pcrparin",2,"antioquia",132,"zaragoza",2006,97.79
"3558","ttdiesti",16,"guaviare",168,"calamar",2006,32.12
"3559","pcrparin",27,"santander",907,"mogotes",2006,88.24
"3560","pcrparin",8,"caldas",368,"samana",2006,95.02
"3561","pcrparin",6,"boyaca",284,"santa maria",2006,94.92
"3562","ttdiesti",6,"boyaca",256,"nobsa",2006,15.41
