"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"297";"ptrldeng";70;"sucre";NA;NA;"2005";NA
"298";"pcrparin";63;"quindio";63212;"cordoba";"2005";97,56
"299";"ttdiesti";85;"casanare";85015;"chameza";"2005";27,77
"300";"ptrldeng";81;"arauca";NA;NA;"2005";NA
"301";"pcrparin";68;"santander";68418;"los santos";"2005";96,67
"302";"ttdiesti";41;"huila";41244;"elias";"2005";19,71
"303";"ttdiesti";52;"narino";52788;"tangua";"2005";25,77
"304";"ttdiesti";47;"magdalena";47053;"aracataca";"2005";20,76
"305";"ptrldeng";68;"santander";NA;NA;"2005";NA
"306";"pcrparin";41;"huila";41551;"pitalito";"2005";91,2
"307";"ttdiesti";8;"atlantico";8770;"suan";"2005";19,89
"308";"ttdiesti";44;"la guajira";44560;"manaure";"2005";54,38
"309";"pcrparin";15;"boyaca";15522;"panqueba";"2005";93,75
"310";"pgeembar";8;"atlantico";NA;NA;"2005";13,1
"311";"ttdnesti";76;"vaupes";NA;NA;"2005";NA
"312";"ttdiesti";5;"antioquia";5647;"san andres de cuerquia";"2005";19,47
"313";"ttdiesti";15;"boyaca";15362;"iza";"2005";16,25
"314";"ttdiesti";25;"cundinamarca";25398;"la pena";"2005";24,98
"315";"ttdiesti";5;"antioquia";5890;"yolombo";"2005";18,23
"316";"ttdiesti";47;"magdalena";47692;"san sebastian de buenavista";"2005";16,7
"317";"pcrparin";18;"caqueta";18256;"el paujil";"2005";99,26
"318";"ttdiesti";52;"narino";52687;"san lorenzo";"2005";23,26
"319";"ttdiesti";20;"cesar";20045;"becerril";"2005";26,94
"320";"pcrparin";25;"cundinamarca";25288;"fuquene";"2005";100
"321";"pcrparin";76;"valle del cauca";76834;"tulua";"2005";99,91
"322";"ttdiesti";76;"valle del cauca";76147;"cartago";"2005";16,25
"323";"ttdiesti";44;"la guajira";44855;"urumita";"2005";16,82
"324";"ttdiesti";41;"huila";41483;"nataga";"2005";20,76
"325";"pcrparin";73;"tolima";NA;NA;"2005";92,8096158
"326";"ttdiesti";5;"antioquia";5615;"rionegro";"2005";10,02
"327";"ttdiesti";47;"magdalena";47745;"sitionuevo";"2005";32,88
"328";"pcrparin";50;"meta";50568;"puerto gaitan";"2005";60,8
"329";"pcrparin";25;"cundinamarca";25148;"caparrapi";"2005";97,81
"330";"pcrparin";25;"cundinamarca";25736;"sesquile";"2005";99,02
"331";"ctrmormt";88;"san andres";NA;NA;"2005";0
"332";"pcrparin";85;"casanare";85279;"recetor";"2005";100
"333";"pcrparin";20;"cesar";NA;NA;"2005";92,91311588
"334";"pcrparin";23;"cordoba";23586;"purisima";"2005";97,59
"335";"pcrparin";15;"boyaca";15272;"firavitoba";"2005";98,91
"336";"ttdiesti";5;"antioquia";5059;"armenia";"2005";20,74
"337";"pcrparin";25;"cundinamarca";25307;"girardot";"2005";99,52
"338";"ttdiesti";27;"choco";NA;NA;"2005";49,36373362
"339";"ttdiesti";68;"santander";68211;"contratacion";"2005";21,06
"340";"pcrparin";5;"antioquia";5842;"uramita";"2005";94,37
"341";"pcrparin";41;"huila";NA;NA;"2005";90,63383318
"342";"ttdiesti";66;"risaralda";66400;"la virginia";"2005";19,37
"343";"pcrparin";41;"huila";41349;"hobo";"2005";92,19
"344";"ttdiesti";18;"caqueta";18460;"milan";"2005";31,92
"345";"pcrparin";25;"cundinamarca";25168;"chaguani";"2005";97,22
"346";"ttdiesti";50;"meta";50270;"el dorado";"2005";24,69
"347";"ptrldeng";17;"caldas";NA;NA;"2005";NA
"348";"ttdiesti";50;"meta";50568;"puerto gaitan";"2005";61,35
"349";"pcrperca";76;"valle del cauca";NA;NA;"2005";98,32736729
"350";"pcrparin";70;"sucre";70204;"coloso";"2005";100
"351";"pcrrncpn";20;"cesar";NA;NA;"2005";81,57
"352";"pcrparin";15;"boyaca";15621;"rondon";"2005";92,59
"353";"pcrparin";15;"boyaca";15212;"coper";"2005";87,5
"354";"ttdiesti";52;"narino";52256;"el rosario";"2005";33,5
"355";"ctrmormt";85;"casanare";NA;NA;"2005";3
"356";"ttdiesti";73;"tolima";73152;"casabianca";"2005";24,33
"357";"pcrparin";66;"risaralda";66594;"quinchia";"2005";91,7
"358";"ptrldeng";99;"vichada";NA;NA;"2005";NA
"359";"pcrparin";25;"cundinamarca";25317;"guacheta";"2005";93,02
"360";"pcrparin";5;"antioquia";5686;"santa rosa de osos";"2005";98,71
"361";"pcrparin";91;"amazonas";91669;"puerto santander";"2005";80
"362";"ttdiesti";27;"choco";27745;"sipi";"2005";29,44
"363";"pbehtaco";20;"cesar";NA;NA;"2005";NA
"364";"pcrperca";17;"caldas";NA;NA;"2005";96,92449748
"365";"pcrparin";25;"cundinamarca";25335;"guayabetal";"2005";100
"366";"ttdiesti";27;"choco";27413;"lloro";"2005";60,96
"367";"pcrparin";68;"santander";68397;"la paz";"2005";89,29
"368";"pgeembar";20;"cesar";NA;NA;"2005";27,9
"369";"ttdiesti";99;"vichada";99773;"cumaribo";"2005";49,97
"370";"pcrparin";8;"atlantico";8549;"piojo";"2005";81,72
"371";"ttdiesti";41;"huila";41359;"isnos";"2005";26,18
"372";"pcrparin";15;"boyaca";15480;"muzo";"2005";97,14
"373";"igrtgfec";27;"choco";NA;NA;"2005";NA
"374";"ttdiesti";68;"santander";68318;"guaca";"2005";22,38
"375";"caelacex";91;"amazonas";NA;NA;"2005";NA
"376";"ttdiesti";73;"tolima";73873;"villarrica";"2005";25,88
"377";"ctrmormt";52;"narino";NA;NA;"2005";18
"378";"cgrnacim";63;"quindio";NA;NA;"2005";20936
"379";"ttdiesti";25;"cundinamarca";25841;"ubaque";"2005";15,08
"380";"ttdiesti";18;"caqueta";18479;"morelia";"2005";22,18
"381";"ttdiesti";25;"cundinamarca";25875;"villeta";"2005";16,47
"382";"pgeembar";94;"guainia";NA;NA;"2005";30,8
"383";"pcrparin";70;"sucre";70124;"caimito";"2005";96,99
"384";"ttdiesti";19;"cauca";19450;"mercaderes";"2005";23,84
"385";"pcrrncpn";88;"san andres";NA;NA;"2005";93,15
"386";"pcrparin";13;"bolivar";13300;"hatillo de loba";"2005";94,44
"387";"ttdiesti";54;"n.santander";54520;"pamplonita";"2005";12,38
"388";"pbehtaco";85;"casanare";NA;NA;"2005";NA
"389";"ttdiesti";13;"bolivar";13667;"san martin de loba";"2005";35,58
"390";"pcrparin";68;"santander";68179;"chipata";"2005";98,75
"391";"ttdiesti";81;"arauca";81220;"cravo norte";"2005";35,96
"392";"pcrparin";99;"vichada";99524;"la primavera";"2005";86,26
"393";"pcrparin";25;"cundinamarca";25781;"sutatausa";"2005";100
"394";"ttdiesti";52;"narino";52490;"olaya herrera";"2005";32,61
"395";"ttdiesti";73;"tolima";73563;"prado";"2005";22,6
"396";"ttdiesti";25;"cundinamarca";25317;"guacheta";"2005";18,61
"397";"pcrparin";8;"atlantico";8137;"campo de la cruz";"2005";100
"398";"ptrldeng";52;"narino";NA;NA;"2005";NA
"399";"ttdiesti";54;"n.santander";54480;"mutiscua";"2005";17,91
